Municipio,Ente,Ouvidor,Telefone,Whatsapp,E-mail,Site,Endereço,Horario de funcionamento,Evidencia de Instrucao Normativa,Link da Instrucao Normativa
SÃO JOÃO DO JAGUARIBE,Prefeitura,Cirilo Barreira Gomes,,(88) 9 8119-5326,,https://www.saojoaodojaguaribe.ce.gov.br/ouvidoria,"Rua: Cônego Climerio Chaves, Nº 307 - Centro - CEP: 62.965-000 - São João Do Jaguaribe/CE",De Segunda à Sexta das 08:00hs às 14:00hs,Não,
SÃO LUIZ DO CURU,Prefeitura,,,,,https://www.saoluisdocuru.ce.gov.br/ouvidoria/a91bfd1d-4d0f-4984-8eb6-efbf8feb7420/,,,Não,
SENADOR POMPEU,Prefeitura,Mayara Avles Bezerra,(88) 3449-1243,,ouvidoria@senadorpompeu.ce.gov.br,https://www.senadorpompeu.ce.gov.br/ouvidoria,"Rua: Segismundo Rodrigues, S/N - Centro - Nº 63.600-000 Senador Pompeu/CE",De segunda à quinta de 07h30 às 12h00 e de 13:30h às 17h00. Sexta das 07h30 às 12h30,Não,
SENADOR SÁ,Prefeitura,,,,,https://senadorsa.ce.gov.br/,,,Não,
SOBRAL,Prefeitura,,,,,https://sobral.ce.gov.br/,,,Sim,https://www.sobral.ce.gov.br/diario/public/files/diario/8abcb80e5b6a85d40a9345b7ae7b5a1e.pdf
SOLONÓPOLE,Prefeitura,ILA MARIA PINHEIRO NOGUEIRA SARAIVA,(88) 9 8862-2447,(88) 9 8862-2447,ouvidoria@solonopole.ce.gov.br,https://www.solonopole.ce.gov.br/ouvidoria,"Rua Dr. Queiroz Lima, 330 - Centro - CEP: 63620-000 - Solonópole\CE",Das 07:30h às 11:30 e 13:30h às 17:00h,Não,
TABULEIRO DO NORTE,Prefeitura,Raelly Magalhães Lima,,(88) 9 9267-0223,ouvidoria@tabuleirodonorte.ce.gov.br,https://www.tabuleirodonorte.ce.gov.br/ouvidoria,"Rua Padre Clicério, 4605 - São Francisco - CEP: 62960-000 - Tabuleiro do Norte\CE",Segunda a Sexta 07:00 as 13:00,Sim,https://www.tabuleirodonorte.ce.gov.br/arquivos/891/LEIS%20MUNICIPAIS_1234_2013_0000001.pdf
TAMBORIL,Prefeitura,VANESSA MARIA HOLANDA ROSA VASCONCELOS,(88) 99226-6608,,ouvidoriatamboril@gmail.com,https://www.tamboril.ce.gov.br/ouvidoria,"Rua: Germiniano Rodrigues de Farias, s/n - São Pedro - CEP: 63.750-000 - Tamboril/CE",De Segunda a Sexta das 8h às 12h e de 14h às 17h,Não,
TARRAFAS,Prefeitura,,,,ouvidoria@tarrafas.ce.gov.br,https://ouvidoria.tarrafas.ce.gov.br/,"Av. Maria Luiza Leite Santos, s/n - Bulandeira - Tarrafas/CE",Segunda a Sexta: 7:30h à 11:30h e 13:00h à 16:00h,Sim,https://files1.ciebit.com/tarrafas/de54aeb14926db683a8c1839fbc80b83.pdf
TAUÁ,Prefeitura,Harmodia Cavalcanti Gonçalves,88998072540,,ouvidoriatauaouvidoria@gmail.com,https://www.taua.ce.gov.br/ouvidoria,"Rua Setúbal Da paixão, 06 Palácio Quinamuiu centro Administrativo José Fernandes castelo.",DE SEGUNDA A QUINTA FEIRA DAS 07:00H AS 17:00H E SEXTA FEIRA DE 07:00H AS 13:00H,Sim,https://www.taua.ce.gov.br/arquivos/420/LEIS%20MUNICIPAIS_2595_2021_0000001.pdf
TEJUÇUOCA,Prefeitura,MARIA VALDELUCIA ANDRADE DE SOUSA CARVALHO,(85) 992030335,,ouvidoriapmtj@gmail.com,https://www.tejucuoca.ce.gov.br/ouvidoria,"Mamede Rodrigues Teixeira, nº 489. Centro. Praça Matriz. Tejuçuoca/CE",Seg à Sex. 08:00 às 12:00 e 14:00 as 17:00,Não,
TIANGUÁ,Prefeitura,Carlos Alexandre Aguiar de Vasconcelos,(88) 3671-2288,,ouvidoria@tiangua.ce.gov.br,https://www.tiangua.ce.gov.br/ouvidoria,"Avenida Moisés Moita, nº 785",Segunda à Sexta das 08:00 hs às 12:00hs e de 13:30 ás 17:30,Sim,https://www.tiangua.ce.gov.br/leis.php?id=1815
TRAIRI,Prefeitura,Maria Gorete Souto Pinto,(85) 9.96018313,,ouvidoriatrairi2021@gmail.com,https://www.trairi.ce.gov.br/ouvidoria,Av. Miguel Pinto Ferreira nº 356,De Segunda a Sexta das 07:30h às 12:30h e das 13:30h às 17:00 h,Sim,https://trairi.ce.gov.br/leis.php?dtini=&dtfim=&cat=31&Exer=2021&Num=&Descr=&grupo=
TURURU,Prefeitura,Andreza Sales Pereira,,,ouvidoria@tururu.ce.gov.br,https://www.tururu.ce.gov.br/ouvidoria,"Rua Francisco Sales, 132 - Centro - CEP: 62655-000 - Tururu\CE",De Segunda a Sexta das 08:00hs às 17:00hs,Não,
UBAJARA,Prefeitura,ANDREZA MARIA FERNANDES CESAR,,,,https://www.ubajara.ce.gov.br/ouvidoria,,,Não,
UMARI,Prefeitura,Francisco Eduardo Ferreira de Araujo,(85)9.8982-8576,,ouvidoriaumari@gmail.com,https://www.umari.ce.gov.br/ouvidoria,"Rua: 3 Agosto, Nº 200 - Centro - CEP: 63.310-000 - Umari/CE",De Segunda á Sexta feira das 08:00hs às 17:00 hs,Não,
UMIRIM,Prefeitura,,(85) 3364-1211,,ouvidoria@umirim.ce.gov.br,https://www.umirim.ce.gov.br/ouvidoria,,Seg. à Sex de 08h às 14h,Não,
URUBURETAMA,Prefeitura,RITA LIVYA DE SOUSA ARAÚJO,(85)991812328,,ouvidoria@uruburetama.ce.gov.br,https://www.uruburetama.ce.gov.br/ouvidoria,"PRAÇA SOARES BULCÃO, Nº 196 CENTRO, CEP: 62650-000",De Segunda a Sexta das 8:00 as 14:00,Não,
URUOCA,Prefeitura,ALAN LIMA DE SOUSA,(88) 9.92559694,,ouvidoria@uruoca.ce.gov.br,https://uruoca.ce.gov.br/ouvidoria,"Rua João Rodrigues, 173 - Centro - CEP: 62460-000 - Uruoca\CE","De segunda a sexta, das 7:30 às 12:00 e das 14:00 às 17:30",Sim,https://www.uruoca.ce.gov.br/leis.php?id=1475
VARJOTA,Prefeitura,Cloves Ximenes Feijão Filho,(88) 36391344,,ouvidoria@varjota.ce.gov.br,https://www.varjota.ce.gov.br/ouvidoria,"Av. Pres. Castelo Branco, 1744 - Acampamento - CEP: 62265-000 - Varjota\CE",Segunda à sexta de 8h00 às 14h00,Não,
VARZEA ALEGRE,Prefeitura,Andrea Fiuza Menezes,(88) 9 99864766,(88) 9 99864766,ouvidoria@varzeaalegre.ce.gov.br,https://www.varzeaalegre.ce.gov.br/ouvidoria,"Rua Dep. Luiz Otacílio Correia,153, Centro. Várzea Alegre - CE",De segunda à sexta das 08h às 14h,Não,
VIÇOSA DO CEARÁ,Prefeitura,ADRIANO ROCHA DA SILVA,,,ouvidoria@vicosa.ce.gov.br,https://www.vicosa.ce.gov.br/ouvidoria,"Avenida José Figueira, 615, Bairro São Francisco",Segunda a sexta de 07:30h às 12:00h e de 13:30h às 17:00h,Não,
AQUIRAZ,SECRETARIA DA SAÚDE,TATIANA DA SILVA NOGUEIRA,(85) 4062-8090 / ramal 9164,,ouvidoria.saude@aquiraz.ce.gov.br,,AVENIDA SANTOS DUMOND,SEGUNDA A QUINTA DE 08:00 AS 12:00 / 13:00 AS 16:00. SEXTA DE 08:00 AS 12:00,Não,
AQUIRAZ,SECRETARIA MUNICIPAL DE TRÂNSITO E TRANSPORTE URBANO,TÁBITA PEREIRA DE FREITAS,(85) 4062-8090 / ramal 9188,,,,RUA DA INTEGRAÇÃO S/N,,Não,
ACARAPE,Câmara,FRANCISCA RANIELLY ANDRADE SALES,(85) 3373-1266,,camaraacarape@hotmail.com,https://www.camaraacarape.ce.gov.br/ouvidoria,"Rua José Guilherme Costa, S/N - Centro - CEP: 62.785-000 – Acarape/CE",08:00hs às 14:00hs,Não,
ABAIARA,Câmara,,(88) 3558-1399,,,https://camaraabaiara.ce.gov.br/,,,Não,
ACARAÚ,Câmara,FRANCISCO JOSÉ DE SOUSA SECUNDO,(88) 3661-1541,,ouvidoria@cmacarau.ce.gov.br,https://cmacarau.ce.gov.br/,"Av. Capitão Diogo Lopes, Nº 53 - Centro - CEP: 62580-000 – Acaraú/CE",De Segunda-Feira a Sexta-Feira dàs 08:00 ÀS 17:00 hrs,Sim,https://www.acarau.ce.gov.br/arquivos/81/_1745_2018.pdf
ACOPIARA,Câmara,Otacilio Pereira da Silva Neto,(88) 98818-2248,,otaciliopereira163@outlook.com,https://www.camaraacopiara.ce.gov.br/,"Avenida Paulino Félix, 557",De Segunda-Feira a Sexta-Feira dàs 08:00 ÀS 12:00 hrs,Não,
AIUABA,Câmara,Lucas Gomes de Sousa,(88)3524-1212,,camaraaiuaba@gmail.com,https://cmaiuaba.ce.gov.br/,Câmara Municipal De Aiuaba,De Segunda à Sexta Das 08:00hs às 12:00hs,Sim,https://aiuaba.ce.gov.br/arquivos/222/LEIS%20MUNICIPAIS_105_2018.pdf
ALCÂNTARAS,Câmara,Antonia de Cassia da Silva Maciel,(88)36401144,,camaramunicipaldealcantaras@hotmail.com,https://camaraalcantaras.ce.gov.br/,"Rua Antonio Rocha Freire,S/N-Centro",,Não,
ALTANEIRA,Câmara,,8835481168,,contato@altaneira.ce.leg.br,https://www.altaneira.ce.leg.br/,Câmara Municipal De Altaneira,De Segunda à Sexta Das 07:30hs às 13:30hs,Não,
ALTO SANTO,Câmara,,(88) 3429-1260,,,https://www.camaraaltosanto.ce.gov.br/,,,Não,
AMONTADA,Câmara,Sheila Samia Teixeira Alves,(88) 3636-1414,,,https://camaraamontada.ce.gov.br/,Câmara Municipal de Amontada,,Não,
ANTONINA DO NORTE,Câmara,,,,,https://cmantoninadonorte.ce.gov.br/,,,Não,
APUIARES,Câmara,Diego Barbosa de Sousa,85991561379,,ouvidoriacamaraapuiares@gmail.com,https://www.camaraapuiares.ce.gov.br/,Câmara Municipal De Apuiarés,,Não,
AQUIRAZ,Câmara,,(85) 3361-0171,,,https://cmaquiraz.ce.gov.br/,,,Não,
ARACATI,Câmara,,(88) 3421-1144,,,https://www.cmaracati.ce.gov.br/,"Rua Coronel Alexanzito, 448 - CEP: 62800-000, Centro, Aracati/CE","De segunda a sexta-feira
Das 08h às 14h",Sim,https://aracati.ce.gov.br/arquivos/239/LEIS%20MUNICIPAIS_003_2017_0000001.pdf
ARACOIABA,Câmara,José Herlano Guedes de Queiroz,(85)3337.1636,,herlanoguedes@hotmail.com,https://www.camaraaracoiaba.ce.gov.br/,"Av. Da Independência, Nº 134 - Centro - CEP: 62.750-000 – Aracoiaba/CE",,Não,
ARARENDÁ,Câmara,Ellison Bezerra de Sousa,(88) 3633-1166,,ouvidoria@hotmail.com,https://camaradeararenda.ce.gov.br/,Câmara Municipal De Ararendá,07h-12h,Sim,https://ararenda.ce.gov.br/proxy/pdf/?url=https%3A//intgest-executivo.s3.amazonaws.com/media/intgest_executivo/public/legalnorm/2017/6cb0a396-23a4-44c5-a5aa-b387267dd0d4/lei_no_327__2017_dispoe_sobre_a_criacao_da_ouvidoria_do_municipio_de_ararenda.pdf
ARARIPE,Câmara,,(88) 3530-1246,,camarararipe2020@gmail.com,https://www.cmararipe.ce.gov.br/,,,Não,
ARATUBA,Câmara,Marcia de Freitas Leitão,(85) 3329-1227,,camara.aratuba@gmail.com,https://camaraaratuba.ce.gov.br/,"Edifício José de Freitas Filho | Rua Coronel Augusto Cordeiro, Nº 539 - Centro - Araripe/CE",8h-12h,Não,
ARNEIROZ,Câmara,,(88) 3419 1111,,,https://camaraarneiroz.ce.gov.br/,,,Não,
ASSARÉ,Câmara,,(88)3535-1346,,,https://camaraassare.ce.gov.br/,,,Sim,https://assare.ce.gov.br/arquivos/138/LEIS%20MUNICIPAIS_043_2017_0000001.pdf
AURORA,Câmara,Anna Vytória Gonçalves Landim,(88) 99949-6708 | (88) 3543-1217,,ouvidoria@camaraaurora.ce.gov.br | ouvidoriaplaurora@gmail.com,https://cmaurora.ce.gov.br/,"Doutor Guedes Martins, s/n - Bairro Araçá - Aurora/CE",,Não,
BAIXIO,Câmara,,(88) 99707-4043,,contato@camarabaixio.ce.gov.br | ouvidoria@camarabaixio.ce.gov.br,https://camarabaixio.ce.gov.br/,"Praça dos Três Poderes, Centro Adm. Cícero Henrique Brasileiro, S/N – Centro",,Não,
BANABUIU,Câmara,Caio Vitor,(88) 3426-1212,(88) 99903-1442,ouvidoria@banabuiu.ce.gov.br,https://esic.camarabanabuiu.ce.gov.br/ouvidoria,"Rua: Raimundo Dias , Nº 38 - Centro - CEP: 63.960-000 – Banabuiú/CE",7:30 às 1:30,Não,
BARBALHA,Câmara,,(88) 3532-3316 | (88) 3454-5588,,ouvidoria@hotmail.com,https://www.camaradebarbalha.ce.gov.br/,,,Sim,https://www.barbalha.ce.gov.br/arquivos/821/REGIMENTO_INTERNO__2025_0000002.pdf
BARREIRA,Câmara,Bruna Monte Torres Teixeira,(85) 3331-1277,,,https://camarabarreira.ce.gov.br/,"Rua Felix Pereira, 0920 - Centro - CEP: 62795-000 Barreira\CE",,Sim,https://barreira.ce.gov.br/arquivos/55/LEIS_575_2017_0000001.pdf
BARRO,Câmara,,(88) 3554-1013,,cambarro@barro.ce.leg.br,https://www.barro.ce.leg.br/,,,Não,
BARROQUINHA,Câmara,,,,,https://www.camarabarroquinha.ce.gov.br/,,,Não,
BATURITÉ,Câmara,Francisca Eugência Pinheiro de Paula,8533470193,,camaramunicipaldebaturite@hotmail.com,https://www.camarabaturite.ce.gov.br/,Trav: Cicero Segundo da Costa - Nº 1215 - Centro - CEP: 62760-000 - Baturité – CE,,Não,
BEBERIBE,Câmara,,(85) 9.8887-0917,,contato@cmbeberibe.ce.gov.br,https://www.cmbeberibe.ce.gov.br/#gsc.tab=0,"Avenida Maria Calado, 0 Centro, Beberibe/CE",,Sim,https://www.beberibe.ce.gov.br/arquivos/2724/LEI_COMPLEMENTAR_81_2025_0000001.pdf
BELA CRUZ,Câmara,Ana Tayline Vasconcelos Teofilo Morais,(88)9.9915-4475,,cmbc2023@hotmail.com,https://www.cmbelacruz.ce.gov.br/,Câmara Municipal De Bela Cruz,,Não,
BOA VIAGEM,Câmara,,(88) 98181-1268,,,https://www.camaraboaviagem.ce.gov.br/,,,Sim,https://www.boaviagem.ce.gov.br/arquivos/581/Leis_1199_2014.pdf
BREJO SANTO,Câmara,,(88) 3531-1010 | (88) 3531-0447,,,https://camarabrejosanto.ce.gov.br/,,,Não,
CAMOCIM,Câmara,Lorrany Vasconcelos Oliveira,88 3621.1429,,ouvidoria@camaracamocim.ce.gov.br,https://www.camaracamocim.ce.gov.br/,"Praça José Severiano Morel , S/N , altos , Centro Camocim /CE",,Sim,https://camocim.ce.gov.br/wp-content/uploads/2024/05/Lei-de-Criacao-da-Ouvidoria-Geral.pdf
CAMPOS SALES,Câmara,MILENA RODRIGUES RIBEIRO,,,ouvidoria@cmcampossales.ce.gov.br,https://www.cmcampossales.ce.gov.br/,"Rua Francisco Gomes de souza, n° 190, Centro, Campos sales-CE.",,Não,
CANINDÉ,Câmara,,(85) 3343-5012,,,https://cmcaninde.ce.gov.br/,,,Não,
CAPISTRANO,Câmara,BENIZIO PEREIRA DOS SANTOS,85 3326 1393,,camaracapistrano@gmail.com,https://www.camaracapistrano.ce.gov.br/,CAMARA MUNICIPAL DE CAPISTRANO,,Sim,https://www.capistrano.ce.gov.br/arquivos/674/LEI%20COMPLEMENTAR_001_2023_0000001.pdf
CARIRÉ,Câmara,FRANCISCA AGUIAR PORTELA,3646 1269,,camaramunicipaldecarire@gmail.com,https://www.camaracarire.ce.gov.br/,Câmara Municipal De Cariré,,Sim,https://www.carire.ce.gov.br/arquivos/724/LEIS_630_2019_0000001.pdf
CARIDADE,Câmara,,(85)3324-1266,,,https://www.camaracaridade.ce.gov.br/,,,Sim,Decreto disponível nas Contas de Governo nº 02525/2024-0
CARIRIAÇU,Câmara,Aldemia de Souza Barros,(88) 3547-1209,,ouvidoria@camaracaririacu.ce.gov.br,https://www.camaracaririacu.ce.gov.br/,Câmara Municipal de Caririaçu,,Sim,https://www.caririacu.ce.gov.br/arquivos/1727/_636_2016.pdf
CARIUS,Câmara,,(88) 99727-5570,,,https://www.camaracarius.ce.gov.br/,,,Não,
CARNAUBAL,Câmara,MARIA RAIANE SOUSA RIBEIRO,(88) 36501202,,ouvidoria@camaracarnaubal.ce.gov.br,https://www.camaracarnaubal.ce.gov.br/,"Av. Paulo Sarazate, S/N - Centro - CEP: 63.375-000 - Carnaubal/CE",,Não,
CASCAVEL,Câmara,João Batista Monteiro Uchoa,(85) 2180-8085 / (85) 3334-1141,,,https://cmcascavel.ce.gov.br/,,,Não,
CATARINA,Câmara,,(88) 98158-2271,,,https://www.camaracatarina.ce.gov.br/,,,Não,
CATUNDA,Câmara,,(88) 99211-4035,,,https://www.camaracatunda.ce.gov.br/,,,Não,
CAUCAIA,Câmara,,(85) 3342-1021,,,https://www.cmcaucaia.ce.gov.br/,,,Sim,https://caucaia.ce.gov.br/publicacoes.php?id=2788
CEDRO,Câmara,JOSE CLERITON COSTA LEITE JUNIOR,(88) 9 9908-4084,,ouvidoria@camaradecedro.ce.gov.br,https://www.camaradecedro.ce.gov.br/,Câmara Municipal de Cedro,,Sim,https://www.cedro.ce.gov.br/leis.php?id=48
CHAVAL,Câmara,,(88) 3625-1282,,contato@camarachaval.ce.gov.br,https://camarachaval.ce.gov.br/,"Rua Cel. José Porfírio, sn centro, CEP 62420-000, Chaval-Ce",,Sim,Decreto anexado nas contas de governo nº 02206/2024-6
CHORÓ,Câmara,FRANCISCO ERIVALDO MIGUEL BARBOSA,(88) 34381273,,cmchoro@hotmail.com,https://www.camarachoro.ce.gov.br/,"Rosalina Alves de Araújo, 113 - Alto do Cruzeiro - Choró/CE",,Sim,https://www.choro.ce.gov.br/arquivos/981/REGULAMENTACAO%20DA%20LEI%20DE%20ACESSO%20A%20INFORMACAO_614_2022_0000001.pdf
CHOROZINHO,Câmara,,(85) 3319.1475,,camaramunicipaldechorozinho@gmail.com,https://www.camarachorozinho.ce.gov.br/,,,Não,
COREAÚ,Câmara,,(88) 98140-4200,,,https://www.cmcoreau.ce.gov.br/,,,Não,
CRATEÚS,Câmara,,(88) 3691-3030,,,https://camaracrateus.ce.gov.br/,Rua Carlos Rolim - Crateús/CE,,Não,
CRATO,Câmara,Carolaine da Silva Landim Cruz,(88) 3523-2702,,ouvidoria@camaracrato.ce.gov.br,https://www.camaracrato.ce.gov.br/index.xhtml,"Rua Teófilo Siqueira 631, Centro, Crato/CE",,Sim,https://mail.crato.ce.gov.br/site/conteudo/2/1625759525_1.pdf (a partir da pág. 08)
CROATÁ,Câmara,,(88) 3659-1213,,,https://www.camaracroata.ce.gov.br/,,,Não,
CRUZ,Câmara,JUVENAL BEZERRIL DA SILVA,(88) 3660-1216,,ouvidoria@cmcruz.ce.gov.br,https://cmcruz.ce.gov.br/,Av. Dep. Amadeu Filomeno - Aningas - Cruz - CE - Cep: 62595-000,,Não,
DEPUTADO IRAPUAN PINHEIRO,Câmara,,(88) 98182-3666,,,https://camarairapuanpinheiro.ce.gov.br/,,,Sim,https://irapuanpinheiro.ce.gov.br/arquivos/702/LEIS%20MUNICIPAIS_397_2018_0000001.pdf
ERERÊ,Câmara,GERLIANE OLIVEIRA DE ANDRADE,(88) 988933749,,cme_erere@hotmail.com,https://www.camaraerere.ce.gov.br/,"Av. Padre Daniel, Nº 169 - Centro - CEP: 63.470-000 – Ererê\CE",,Não,
EUSÉBIO,Câmara,,(85) 3260-1258,,presidencia@cmeusebio.ce.gov.br,https://cmeusebio.ce.gov.br/,,,Sim,https://sapl.eusebio.ce.leg.br/media/sapl/public/normajuridica/2005/613/613_texto_integral.pdf
FARIAS BRITO,Câmara,,(88)3544-1220,,ouvidoria@camarafariasbrito.ce.gov.br,https://www.camarafariasbrito.ce.gov.br/,"Rua da Independência, 190, Nova Esperança, Farias Brito - CE, 63185-000",,Não,
FORQUILHA,Câmara,,,,,https://www.camaraforquilha.ce.gov.br/,,,Sim,https://forquilha.ce.gov.br/arquivos/944/LEIS%20MUNICIPAIS_06142016_2016_0000001.pdf
FORTALEZA,Câmara,,(85) 3444-8300,,,https://www.cmfor.ce.gov.br/home,,,Não,
FORTIM,Câmara,,(88)3413-1575,,ouvidoria@cmfortim.ce.gov.br,https://www.fortim.ce.leg.br/,"Shopping Boulevard, Avenida Joaquim Crisóstomo, 1049,Centro,Fortim, CE",,Sim,https://www.fortim.ce.gov.br/leis.php?id=1230
FRECHEIRINHA,Câmara,,(88) 3655-1404,,,https://www.camarafrecheirinha.ce.gov.br/,,,Não,
GENERAL SAMPAIO,Câmara,,(85) 3357-1028,,,https://www.camarageneralsampaio.ce.gov.br/,,,Sim,https://www.generalsampaio.ce.gov.br/leis.php?id=1689 https://www.generalsampaio.ce.gov.br/decretos.php?id=244 chrome-extension://efaidn https://www.generalsampaio.ce.gov.br/leis.php?id=118/https://www.generalsampaio.ce.gov.br/arquivos/245/IN%20SO%20.%20012019%20-%20SISTEMA%20DE%20OUVIDORIA.pdf
GRAÇA,Câmara,,,,,https://www.cmgraca.ce.gov.br/site,,,Sim,https://www.graca.ce.gov.br/leis.php?id=717
GRANJA,Câmara,FRANCISCA AMANDA DIAS MOREIRA,88-36240034,,ouvidoria@camaragranja.ce.gov.br,https://www.camaragranja.ce.gov.br/,"Valdemiro Cavalcante, S/N - Centro - CEP: 62.430-000 – Granja/CE",,Sim,https://www.granja.ce.gov.br/leis.php?id=153
GRANJEIRO,Câmara,,(88) 3519-1250,,,https://www.camaragranjeiro.ce.gov.br/,,,Sim,https://www.granjeiro.ce.gov.br/leis.php?id=381
GROAIRAS,Câmara,,(88) 3647 - 1104,,,https://www.camaragroairas.ce.gov.br/,,,Não,
GUAIUBA,Câmara,,(85) 3376-1334,,,https://camaraguaiuba.ce.gov.br/,"Praça Tenente Ivanildo José Nocrato, s/n - Centro - Guaiúba/CE",,Não,
GUARACIABA DO NORTE,Câmara,,(88) 3652-2175,,,https://cmguaraciabadonorte.ce.gov.br/,,,Não,
GUARAMIRANGA,Câmara,,8533211448,,camara.guaramiranga@gmail.com,https://www.camaraguaramiranga.ce.gov.br/,"Raimundo Nonato da Costa, Nº 021 - Centro - CEP: 62766-000 – Guaramiranga/CE",,Sim,https://www.guaramiranga.ce.gov.br/leis.php?id=846
HIDROLÂNDIA,Câmara,,(88) 3638-1102,,,https://camarahidrolandia.ce.gov.br/,,,Não,
HORIZONTE,Câmara,,85 3336-1130,,contatos@horizonte.ce.leg.br,https://www.horizonte.ce.leg.br/,"Av. Francisco Eudes Ximenes, 123 -
Horizonte/CE",,Não,
IBARETAMA,Câmara,,,,,https://camaraibaretama.ce.gov.br/,,,Não,
IBIAPINA,Câmara,,(88) 3653-1388,,,https://www.cmibiapina.ce.gov.br/,,,Sim,https://www.ibiapina.ce.gov.br/arquivos/1365/LEI_MUNICIPAL_401_2008_0000001.pdf
IBICUITINGA,Câmara,,(88) 3425-1032,,,https://cmibicuitinga.ce.gov.br/,,,Não,
ICAPUÍ,Câmara,VITOR FERREIRA LIMA,8834321230,,ouvidoria@cmicapui.ce.gov.br,https://cmicapui.ce.gov.br/,Câmara Municipal de Icapuí,,Sim,https://www.icapui.ce.gov.br/arquivos/499/LEI%20COMPLEMENTAR_064_2017_0000001.pdf
ICÓ,Câmara,ANNA ALICE CARVALHO NUNES,(85) 3025-2726,,ouvidoria@camaraico.ce.gov.br,https://camaraico.ce.gov.br/,Câmara Municipal de Icó,,Sim,https://www.ico.ce.gov.br/arquivos/4204/LEI%20MUNICIPAL_506_2001_0000001.pdf
IGUATU,Câmara,,(88) 3198-0997,,,https://camaraiguatu.ce.gov.br/,,,Não,
INDEPENDÊNCIA,Câmara,OTACILIO GOMES VIEIRA JUNIOR,(88) 3675-1538,,esic@camaraindependencia.ce.gov.br,https://www.camaraindependencia.ce.gov.br/,Câmara Municipal de Independência,,Não,
IPAPORANGA,Câmara,MARIA LUSANIRA DE OLIVEIRA,(88) 3684-1512,,ouvidoriacamaraipaporanga@gmail.com | camaraipaporanga@gmail.com,https://www.camaraipaporanga.ce.gov.br/,"Rua Augusto Evaristo, Nº 30 - Centro - CEP: 62.215-000 – Ipaporanga/CE",7h-13h,Sim,https://www.ipaporanga.ce.gov.br/arquivos/1692/LEIS%20MUNICIPAIS_279_2013_0000001.pdf
IPAUMIRIM,Câmara,José Strauss de Sousa Silva Filho,(88) 3567-1525,,camaraipaumirim@gmail.com,https://camaraipaumirim.ce.gov.br/,Rua Cel. Gustavo Lima - 230 - Centro - CEP: 63.340-000,,Sim,https://www.ipaumirim.ce.gov.br/arquivos/290/LEIS%20MUNICIPAIS_374_2021_0000001.pdf
IPU,Câmara,THASSILLA MARIA SOARES DE OLIVEIRA,(88)36832696,,camaraipu2013@hotmail.com,https://www.cmipu.ce.gov.br/,Câmara Municipal De Ipu,,Sim,https://www.ipu.ce.gov.br/arquivos/868/leis1972009.pdf
IPUEIRAS,Câmara,ANA PONTES TAVARES,(88) 3685-1000,,camaramunicipalipueiras@hotmail.com,https://www.camaraipueiras.ce.gov.br/,Rua Coronel Manoel Mourão s/n,,Não,
IRACEMA,Câmara,,(88) 3428-1288,,camarairacema@brisanet.com.br,https://www.camarairacema.ce.gov.br/,"Rua: Gevársio Holanda, Nº 1254 - Centro - CEP: CEP: 62.980-00 – Iracema-CE",,Não,
IRAUÇUBA,Câmara,,,,,https://www.iraucuba.ce.leg.br/,,,Sim,https://www.iraucuba.ce.gov.br/arquivos/1247/Leis%20Municipais_482_2005_0000001.pdf
ITAIÇABA,Câmara,,(88) 3410-1178,,cmitaicaba@gmail.com,https://www.itaicaba.ce.leg.br/,"Av. Cel. João Correia, 381,Centro,Itaiçaba, CE",,Não,
ITAITINGA,Câmara,MARIA ISABEL SAMPAIO MOREIRA,(85) 3377-1272,,cmitaitinga@gmail.com,https://www.camaraitaitinga.ce.gov.br/,"Rua: João Ferreira Viana, nº 325 - Centro - Itaitinga/CE",,Sim,https://www.itaitinga.ce.gov.br/leis.php?id=705
ITAPAJÉ,Câmara,,(85) 3346-0229,,,https://cmitapaje.ce.gov.br/,,,Não,
ITAPIPOCA,Câmara,LARA JESSICA VIANA SEVERIANO,(88) 3631-2103,,ouvidoria@camaraitapipoca.ce.gov.br,https://camaraitapipoca.ce.gov.br/,"Rua: Frei Cassiano, Nº 750 - Boa Vista - Cep: 62500-000 – Itapipoca/CE",,Não,
ITAPIUNA,Câmara,,(88) 3431.1255,,,https://www.itapiuna.ce.leg.br/,,,Não,
ITAREMA,Câmara,Manoel Rosa Filho,(88) 99900-6530,,ouvidoria@camaraitarema.ce.gov.br,https://camaraitarema.ce.gov.br/,"Av. João Batista Rios, s/n - Centro - Itarema/CE",,Sim,https://itarema.ce.gov.br/publicacoes.php?id=1456
ITATIRA,Câmara,,(88) 3436-1009,,,https://camaraitatira.ce.gov.br/,,,Não,
JAGUARETAMA,Câmara,,(88) 98161-1269,,,https://www.camarajaguaretama.ce.gov.br/,,,Sim,https://jaguaretama.ce.gov.br/leis.php?id=1524
JAGUARIBARA,Câmara,RUBENS ARAÚJO ALMEIDA,,,rubensaraujo88@gmail.com,https://camarajaguaribara.ce.gov.br/,,,Não,
JAGUARIBE,Câmara,FRANCISCO NORMILTON CAVALCANTE AIRES,88 34545588,,,https://www.camarajaguaribe.ce.gov.br/,,,Sim,https://www.jaguaribe.ce.gov.br/arquivos/459/Leis%20Municipais_1125_2013_0000001.pdf
JAGUARUANA,Câmara,Antônio José de Almeida,88 3418 1276,,,https://cmjaguaruana.ce.gov.br/,Câmara Municipal De Jaguaruana,,Não,
